AircraftID,TotalFlights,TotalHours,AvgFuelConsumption,LifetimeFlights,LifetimeHours,AvgMaintenanceCost,RangeKM,Capacity,Age
P1001,50,3000,2500,500,30000,50000,3983,180,9
P1002,45,2700,2400,450,27000,48000,3983,150,8
P1003,30,1800,2600,300,18000,52000,9800,396,6
P1004,40,2400,2300,400,24000,47000,13450,277,7
P1005,55,3300,2450,550,33000,49000,3000,180,10
P1006,35,2100,2350,350,21000,46500,3100,150,5
P1007,60,3600,2200,600,36000,45000,7405,242,4
P1008,65,3900,2250,650,39000,45500,8200,325,3
P1009,20,1200,2550,200,12000,53000,3000,180,11
P1010,25,1500,2700,250,15000,55000,15700,853,12